λ (nm),274 K,278 K   ,283 K,288 K,293 K ,298 K,,"All values from Galbavy et al, 2010",,,,,,
646,0,0,0,0,0,0,,,,,,,,
645,0,0,0,0,0,0,,,,,,,,
644,0,0,0,0,0,0,,,,,,,,
643,0,0,0,0,0,0,,,,,,,,
642,0,0,0,0,0,0,,,,,,,,
641,0,0,0,0,0,0,,,,,,,,
640,0,0,0,0,0,0,,,,,,,,
639,0,0,0,0,0,0,,,,,,,,
638,0,0,0,0,0,0,,,,,,,,
637,0,0,0,0,0,0,,,,,,,,
636,0,0,0,0,0,0,,,,,,,,
635,0,0,0,0,0,0,,,,,,,,
634,0,0,0,0,0,0,,,,,,,,
633,0,0,0,0,0,0,,,,,,,,
632,0,0,0,0,0,0,,,,,,,,
631,0,0,0,0,0,0,,,,,,,,
630,0,0,0,0,0,0,,,,,,,,
629,0,0,0,0,0,0,,,,,,,,
628,0,0,0,0,0,0,,,,,,,,
627,0,0,0,0,0,0,,,,,,,,
626,0,0,0,0,0,0,,,,,,,,
625,0,0,0,0,0,0,,,,,,,,
624,0,0,0,0,0,0,,,,,,,,
623,0,0,0,0,0,0,,,,,,,,
622,0,0,0,0,0,0,,,,,,,,
621,0,0,0,0,0,0,,,,,,,,
620,0,0,0,0,0,0,,,,,,,,
619,0,0,0,0,0,0,,,,,,,,
618,0,0,0,0,0,0,,,,,,,,
617,0,0,0,0,0,0,,,,,,,,
616,0,0,0,0,0,0,,,,,,,,
615,0,0,0,0,0,0,,,,,,,,
614,0,0,0,0,0,0,,,,,,,,
613,0,0,0,0,0,0,,,,,,,,
612,0,0,0,0,0,0,,,,,,,,
611,0,0,0,0,0,0,,,,,,,,
610,0,0,0,0,0,0,,,,,,,,
609,0,0,0,0,0,0,,,,,,,,
608,0,0,0,0,0,0,,,,,,,,
607,0,0,0,0,0,0,,,,,,,,
606,0,0,0,0,0,0,,,,,,,,
605,0,0,0,0,0,0,,,,,,,,
604,0,0,0,0,0,0,,,,,,,,
603,0,0,0,0,0,0,,,,,,,,
602,0,0,0,0,0,0,,,,,,,,
601,0,0,0,0,0,0,,,,,,,,
600,0,0,0,0,0,0,,,,,,,,
599,0,0,0,0,0,0,,,,,,,,
598,0,0,0,0,0,0,,,,,,,,
597,0,0,0,0,0,0,,,,,,,,
596,0,0,0,0,0,0,,,,,,,,
595,0,0,0,0,0,0,,,,,,,,
594,0,0,0,0,0,0,,,,,,,,
593,0,0,0,0,0,0,,,,,,,,
592,0,0,0,0,0,0,,,,,,,,
591,0,0,0,0,0,0,,,,,,,,
590,0,0,0,0,0,0,,,,,,,,
589,0,0,0,0,0,0,,,,,,,,
588,0,0,0,0,0,0,,,,,,,,
587,0,0,0,0,0,0,,,,,,,,
586,0,0,0,0,0,0,,,,,,,,
585,0,0,0,0,0,0,,,,,,,,
584,0,0,0,0,0,0,,,,,,,,
583,0,0,0,0,0,0,,,,,,,,
582,0,0,0,0,0,0,,,,,,,,
581,0,0,0,0,0,0,,,,,,,,
580,0,0,0,0,0,0,,,,,,,,
579,0,0,0,0,0,0,,,,,,,,
578,0,0,0,0,0,0,,,,,,,,
577,0,0,0,0,0,0,,,,,,,,
576,0,0,0,0,0,0,,,,,,,,
575,0,0,0,0,0,0,,,,,,,,
574,0,0,0,0,0,0,,,,,,,,
573,0,0,0,0,0,0,,,,,,,,
572,0,0,0,0,0,0,,,,,,,,
571,0,0,0,0,0,0,,,,,,,,
570,0,0,0,0,0,0,,,,,,,,
569,0,0,0,0,0,0,,,,,,,,
568,0,0,0,0,0,0,,,,,,,,
567,0,0,0,0,0,0,,,,,,,,
566,0,0,0,0,0,0,,,,,,,,
565,0,0,0,0,0,0,,,,,,,,
564,0,0,0,0,0,0,,,,,,,,
563,0,0,0,0,0,0,,,,,,,,
562,0,0,0,0,0,0,,,,,,,,
561,0,0,0,0,0,0,,,,,,,,
560,0,0,0,0,0,0,,,,,,,,
559,0,0,0,0,0,0,,,,,,,,
558,0,0,0,0,0,0,,,,,,,,
557,0,0,0,0,0,0,,,,,,,,
556,0,0,0,0,0,0,,,,,,,,
555,0,0,0,0,0,0,,,,,,,,
554,0,0,0,0,0,0,,,,,,,,
553,0,0,0,0,0,0,,,,,,,,
552,0,0,0,0,0,0,,,,,,,,
551,0,0,0,0,0,0,,,,,,,,
550,0,0,0,0,0,0,,,,,,,,
549,0,0,0,0,0,0,,,,,,,,
548,0,0,0,0,0,0,,,,,,,,
547,0,0,0,0,0,0,,,,,,,,
546,0,0,0,0,0,0,,,,,,,,
545,0,0,0,0,0,0,,,,,,,,
544,0,0,0,0,0,0,,,,,,,,
543,0,0,0,0,0,0,,,,,,,,
542,0,0,0,0,0,0,,,,,,,,
541,0,0,0,0,0,0,,,,,,,,
540,0,0,0,0,0,0,,,,,,,,
539,0,0,0,0,0,0,,,,,,,,
538,0,0,0,0,0,0,,,,,,,,
537,0,0,0,0,0,0,,,,,,,,
536,0,0,0,0,0,0,,,,,,,,
535,0,0,0,0,0,0,,,,,,,,
534,0,0,0,0,0,0,,,,,,,,
533,0,0,0,0,0,0,,,,,,,,
532,0,0,0,0,0,0,,,,,,,,
531,0,0,0,0,0,0,,,,,,,,
530,0,0,0,0,0,0,,,,,,,,
529,0,0,0,0,0,0,,,,,,,,
528,0,0,0,0,0,0,,,,,,,,
527,0,0,0,0,0,0,,,,,,,,
526,0,0,0,0,0,0,,,,,,,,
525,0,0,0,0,0,0,,,,,,,,
524,0,0,0,0,0,0,,,,,,,,
523,0,0,0,0,0,0,,,,,,,,
522,0,0,0,0,0,0,,,,,,,,
521,0,0,0,0,0,0,,,,,,,,
520,0,0,0,0,0,0,,,,,,,,
519,0,0,0,0,0,0,,,,,,,,
518,0,0,0,0,0,0,,,,,,,,
517,0,0,0,0,0,0,,,,,,,,
516,0,0,0,0,0,0,,,,,,,,
515,0,0,0,0,0,0,,,,,,,,
514,0,0,0,0,0,0,,,,,,,,
513,0,0,0,0,0,0,,,,,,,,
512,0,0,0,0,0,0,,,,,,,,
511,0,0,0,0,0,0,,,,,,,,
510,0,0,0,0,0,0,,,,,,,,
509,0,0,0,0,0,0,,,,,,,,
508,0,0,0,0,0,0,,,,,,,,
507,0,0,0,0,0,0,,,,,,,,
506,0,0,0,0,0,0,,,,,,,,
505,0,0,0,0,0,0,,,,,,,,
504,0,0,0,0,0,0,,,,,,,,
503,0,0,0,0,0,0,,,,,,,,
502,0,0,0,0,0,0,,,,,,,,
501,0,0,0,0,0,0,,,,,,,,
500,0,0,0,0,0,0,,,,,,,,
499,0,0,0,0,0,0,,,,,,,,
498,0,0,0,0,0,0,,,,,,,,
497,0,0,0,0,0,0,,,,,,,,
496,0,0,0,0,0,0,,,,,,,,
495,0,0,0,0,0,0,,,,,,,,
494,0,0,0,0,0,0,,,,,,,,
493,0,0,0,0,0,0,,,,,,,,
492,0,0,0,0,0,0,,,,,,,,
491,0,0,0,0,0,0,,,,,,,,
490,0,0,0,0,0,0,,,,,,,,
489,0,0,0,0,0,0,,,,,,,,
488,0,0,0,0,0,0,,,,,,,,
487,0,0,0,0,0,0,,,,,,,,
486,0,0,0,0,0,0,,,,,,,,
485,0,0,0,0,0,0,,,,,,,,
484,0,0,0,0,0,0,,,,,,,,
483,0,0,0,0,0,0,,,,,,,,
482,0,0,0,0,0,0,,,,,,,,
481,0,0,0,0,0,0,,,,,,,,
480,0,0,0,0,0,0,,,,,,,,
479,0,0,0,0,0,0,,,,,,,,
478,0,0,0,0,0,0,,,,,,,,
477,0,0,0,0,0,0,,,,,,,,
476,0,0,0,0,0,0,,,,,,,,
475,0,0,0,0,0,0,,,,,,,,
474,0,0,0,0,0,0,,,,,,,,
473,0,0,0,0,0,0,,,,,,,,
472,0,0,0,0,0,0,,,,,,,,
471,0,0,0,0,0,0,,,,,,,,
470,0,0,0,0,0,0,,,,,,,,
469,0,0,0,0,0,0,,,,,,,,
468,0,0,0,0,0,0,,,,,,,,
467,0,0,0,0,0,0,,,,,,,,
466,0,0,0,0,0,0,,,,,,,,
465,0,0,0,0,0,0,,,,,,,,
464,0,0,0,0,0,0,,,,,,,,
463,0,0,0,0,0,0,,,,,,,,
462,0,0,0,0,0,0,,,,,,,,
461,0,0,0,0,0,0,,,,,,,,
460,0,0,0,0,0,0,,,,,,,,
459,0,0,0,0,0,0,,,,,,,,
458,0,0,0,0,0,0,,,,,,,,
457,0,0,0,0,0,0,,,,,,,,
456,0,0,0,0,0,0,,,,,,,,
455,0,0,0,0,0,0,,,,,,,,
454,0,0,0,0,0,0,,,,,,,,
453,0,0,0,0,0,0,,,,,,,,
452,0,0,0,0,0,0,,,,,,,,
451,0,0,0,0,0,0,,,,,,,,
450,0,0,0,0,0,0,,,,,,,,
449,0,0,0,0,0,0,,,,,,,,
448,0,0,0,0,0,0,,,,,,,,
447,0,0,0,0,0,0,,,,,,,,
446,0,0,0,0,0,0,,,,,,,,
445,0,0,0,0,0,0,,,,,,,,
444,0,0,0,0,0,0,,,,,,,,
443,0,0,0,0,0,0,,,,,,,,
442,0,0,0,0,0,0,,,,,,,,
441,0,0,0,0,0,0,,,,,,,,
440,0,0,0,0,0,0,,,,,,,,
439,0,0,0,0,0,0,,,,,,,,
438,0,0,0,0,0,0,,,,,,,,
437,0,0,0,0,0,0,,,,,,,,
436,0,0,0,0,0,0,,,,,,,,
435,0,0,0,0,0,0,,,,,,,,
434,0,0,0,0,0,0,,,,,,,,
433,0,0,0,0,0,0,,,,,,,,
432,0,0,0,0,0,0,,,,,,,,
431,0,0,0,0,0,0,,,,,,,,
430,0.4,0.3,0.4,0.4,0.4,0.4,,,,,,,,
429,0.5,0.4,0.5,0.5,0.5,0.5,,,,,,,,
428,0.5,0.5,0.5,0.5,0.6,0.6,,,,,,,,
427,0.6,0.6,0.6,0.7,0.7,0.7,,,,,,,,
426,0.7,0.8,0.8,0.8,0.8,0.8,,,,,,,,
425,0.9,0.9,0.9,0.9,0.9,1,,,,,,,,
424,1,1,1,1.1,1.1,1.1,,,,,,,,
423,1.1,1.2,1.2,1.2,1.2,1.3,,,,,,,,
422,1.3,1.3,1.4,1.4,1.4,1.5,,,,,,,,
421,1.6,1.6,1.6,1.6,1.6,1.7,,,,,,,,
420,1.8,1.8,1.8,1.9,1.9,2,,,,,,,,
419,2,2,2.1,2.1,2.2,2.2,,,,,,,,
418,2.3,2.3,2.3,2.4,2.4,2.5,,,,,,,,
417,2.5,2.5,2.6,2.7,2.7,2.8,,,,,,,,
416,2.9,2.9,3,3,3.1,3.2,,,,,,,,
415,3.4,3.3,3.4,3.5,3.5,3.6,,,,,,,,
414,3.8,3.8,3.9,3.9,4,4.1,,,,,,,,
413,4.3,4.4,4.5,4.5,4.6,4.7,,,,,,,,
412,5,5,5.1,5.2,5.2,5.4,,,,,,,,
411,5.8,5.8,5.9,6,6,6.2,,,,,,,,
410,6.6,6.6,6.7,6.8,6.9,7,,,,,,,,
409,7.5,7.5,7.5,7.7,7.8,7.9,,,,,,,,
408,8.4,8.4,8.5,8.6,8.8,8.9,,,,,,,,
407,9.6,9.6,9.7,9.8,10,10.1,,,,,,,,
406,10.8,10.9,11,11.1,11.3,11.4,,,,,,,,
405,12.2,12.3,12.4,12.5,12.7,12.8,,,,,,,,
404,13.8,13.8,13.9,14.1,14.2,14.4,,,,,,,,
403,15.4,15.4,15.5,15.7,16,16.1,,,,,,,,
402,17.2,17.2,17.3,17.5,17.7,17.9,,,,,,,,
401,19,19.1,19.1,19.4,19.6,19.8,,,,,,,,
400,21.2,21.2,21.3,21.5,21.8,21.9,,,,,,,,
399,23.5,23.4,23.6,23.8,24.1,24.2,,,,,,,,
398,25.9,25.9,26,26.2,26.5,26.7,,,,,,,,
397,28.5,28.5,28.6,28.8,29.2,29.4,,,,,,,,
396,31.3,31.3,31.4,31.6,32.1,32.2,,,,,,,,
395,34.4,34.4,34.5,34.8,35.2,35.4,,,,,,,,
394,37.8,37.7,37.8,38.1,38.5,38.7,,,,,,,,
393,41.4,41.4,41.5,41.7,42.2,42.4,,,,,,,,
392,45.3,45.2,45.3,45.6,46.1,46.3,,,,,,,,
391,49.4,49.5,49.5,49.8,50.3,50.5,,,,,,,,
390,53.8,53.8,53.8,54.1,54.7,54.9,,,,,,,,
389,58.4,58.4,58.5,58.7,59.4,59.6,,,,,,,,
388,63.2,63.1,63.2,63.5,64.1,64.3,,,,,,,,
387,68.2,67.9,68.2,68.4,69.1,69.3,,,,,,,,
386,73.2,73,73.2,73.4,74.2,74.3,,,,,,,,
385,78.4,78.3,78.4,78.7,79.4,79.5,,,,,,,,
384,83.7,83.8,83.7,84.2,84.8,85,,,,,,,,
383,89.6,89.7,89.5,90,90.7,90.9,,,,,,,,
382,95.8,95.8,95.6,96.1,96.9,97.1,,,,,,,,
381,102,102,102,102,103,103,,,,,,,,
380,109,108,109,109,110,110,,,,,,,,
379,116,115,116,116,117,117,,,,,,,,
378,122,122,122,122,123,124,,,,,,,,
377,129,129,129,129,130,130,,,,,,,,
376,137,136,136,137,138,138,,,,,,,,
375,144,144,144,145,146,146,,,,,,,,
374,153,152,152,153,154,154,,,,,,,,
373,162,161,161,161,163,163,,,,,,,,
372,170,169,170,170,171,171,,,,,,,,
371,179,178,178,179,180,180,,,,,,,,
370,187,187,187,187,188,188,,,,,,,,
369,196,196,196,196,198,198,,,,,,,,
368,206,206,205,206,207,207,,,,,,,,
367,215,215,215,216,217,217,,,,,,,,
366,225,225,225,225,227,227,,,,,,,,
365,236,235,236,236,237,237,,,,,,,,
364,247,246,247,247,248,248,,,,,,,,
363,257,257,257,258,259,259,,,,,,,,
362,267,268,268,268,269,270,,,,,,,,
361,278,279,279,280,280,281,,,,,,,,
360,294,296,294,295,295,297,,,,,,,,
359,307,309,307,308,308,309,,,,,,,,
358,318,320,319,320,321,322,,,,,,,,
357,330,332,331,332,333,335,,,,,,,,
356,343,344,344,345,345,346,,,,,,,,
355,355,356,356,357,358,358,,,,,,,,
354,368,371,369,370,371,373,,,,,,,,
353,381,384,383,385,385,388,,,,,,,,
352,395,398,398,399,400,403,,,,,,,,
351,410,413,413,414,415,418,,,,,,,,
350,425,427,426,428,429,432,,,,,,,,
349,438,441,441,442,445,446,,,,,,,,
348,452,454,454,457,458,460,,,,,,,,
347,465,468,469,472,472,475,,,,,,,,
346,480,484,484,487,489,491,,,,,,,,
345,493,497,498,501,503,505,,,,,,,,
344,507,510,512,515,517,521,,,,,,,,
343,524,526,529,532,535,537,,,,,,,,
342,539,543,546,548,552,556,,,,,,,,
341,555,560,562,566,570,573,,,,,,,,
340,571,576,578,583,587,591,,,,,,,,
339,588,594,596,601,605,610,,,,,,,,
338,607,613,616,622,626,631,,,,,,,,
337,626,632,636,642,647,652,,,,,,,,
336,646,652,657,662,668,674,,,,,,,,
335,668,675,681,687,692,699,,,,,,,,
334,691,698,703,711,717,724,,,,,,,,
333,713,722,727,736,742,750,,,,,,,,
332,737,746,753,761,769,777,,,,,,,,
331,764,773,780,789,797,805,,,,,,,,
330,791,800,809,819,827,837,,,,,,,,
329,820,829,839,849,859,868,,,,,,,,
328,850,861,871,882,892,901,,,,,,,,
327,882,893,904,916,927,936,,,,,,,,
326,915,927,937,951,962,972,,,,,,,,
325,950,964,974,988,1000,1010,,,,,,,,
324,987,1002,1014,1027,1040,1051,,,,,,,,
323,1027,1041,1055,1068,1081,1093,,,,,,,,
322,1070,1085,1100,1113,1126,1138,,,,,,,,
321,1114,1128,1144,1158,1171,1183,,,,,,,,
320,1159,1175,1190,1206,1219,1231,,,,,,,,
319,1207,1223,1238,1255,1268,1282,,,,,,,,
318,1257,1274,1290,1307,1320,1335,,,,,,,,
317,1308,1326,1341,1359,1373,1388,,,,,,,,
316,1358,1376,1394,1411,1426,1441,,,,,,,,
315,1409,1427,1446,1463,1480,1495,,,,,,,,
314,1463,1480,1500,1517,1536,1548,,,,,,,,
313,1514,1533,1553,1571,1588,1602,,,,,,,,
312,1567,1588,1607,1627,1642,1657,,,,,,,,
311,1620,1642,1661,1682,1697,1713,,,,,,,,
310,1673,1694,1713,1734,1749,1767,,,,,,,,
309,1724,1744,1764,1784,1803,1819,,,,,,,,
308,1774,1793,1816,1835,1854,1870,,,,,,,,
307,1826,1844,1868,1887,1906,1922,,,,,,,,
306,1875,1896,1919,1938,1957,1970,,,,,,,,
305,1925,1948,1964,1988,2000,2012,,,,,,,,
304,1978,1994,2005,2031,2052,2067,,,,,,,,
303,2034,2045,2061,2086,2107,2123,,,,,,,,
302,2090,2099,2116,2140,2164,2181,,,,,,,,
301,2148,2155,2172,2200,2225,2243,,,,,,,,
300,2207,2211,2233,2260,2284,2304,,,,,,,,
299,2266,2269,2293,2319,2345,2363,,,,,,,,
298,2326,2329,2354,2380,2403,2424,,,,,,,,
297,2384,2386,2411,2439,2462,2482,,,,,,,,
296,2446,2446,2472,2500,2527,2548,,,,,,,,
295,2514,2513,2540,2570,2597,2620,,,,,,,,
294,2583,2582,2610,2643,2669,2693,,,,,,,,
293,2656,2657,2683,2715,2743,2766,,,,,,,,
292,2726,2728,2753,2786,2812,2836,,,,,,,,
291,2801,2802,2827,2859,2885,2911,,,,,,,,
290,2879,2879,2906,2937,2963,2989,,,,,,,,
289,2957,2955,2984,3014,3044,3069,,,,,,,,
288,3040,3037,3066,3096,3127,3150,,,,,,,,
287,3120,3118,3148,3179,3209,3228,,,,,,,,
286,3210,3209,3240,3269,3297,3316,,,,,,,,
285,3305,3308,3335,3362,3389,3407,,,,,,,,
284,3406,3405,3431,3459,3483,3501,,,,,,,,
283,3510,3505,3529,3558,3582,3598,,,,,,,,
282,3617,3609,3631,3658,3681,3699,,,,,,,,
281,3722,3713,3733,3762,3782,3799,,,,,,,,
280,3829,3819,3838,3865,3883,3898,,,,,,,,
279,3934,3928,3945,3969,3989,3998,,,,,,,,
278,4015,4039,4054,4075,4091,4098,,,,,,,,
277,4127,4148,4162,4180,4192,4198,,,,,,,,
276,4233,4251,4265,4282,4290,4296,,,,,,,,
275,4338,4354,4364,4379,4385,4393,,,,,,,,
274,4443,4457,4463,4476,4483,4487,,,,,,,,
273,4538,4552,4558,4569,4575,4573,,,,,,,,
272,4633,4645,4651,4658,4658,4657,,,,,,,,
271,4719,4732,4731,4738,4739,4732,,,,,,,,
270,4802,4813,4810,4816,4814,4803,,,,,,,,
269,4884,4890,4889,4891,4887,4876,,,,,,,,
268,4962,4960,4959,4960,4955,4948,,,,,,,,
267,5036,5031,5030,5029,5023,5017,,,,,,,,
266,5102,5099,5096,5095,5088,5081,,,,,,,,
265,5165,5164,5160,5160,5151,5142,,,,,,,,
264,5229,5227,5221,5219,5212,5202,,,,,,,,
263,5283,5281,5274,5273,5266,5253,,,,,,,,
262,5332,5328,5321,5319,5313,5303,,,,,,,,
261,5369,5365,5359,5359,5356,5346,,,,,,,,
260,5394,5396,5388,5391,5389,5379,,,,,,,,
259,5414,5412,5409,5415,5412,5406,,,,,,,,
258,5425,5418,5419,5424,5425,5422,,,,,,,,
257,5421,5417,5422,5428,5431,5429,,,,,,,,
256,5406,5408,5409,5420,5426,5429,,,,,,,,
255,5381,5382,5386,5400,5406,5416,,,,,,,,
254,5344,5348,5355,5372,5382,5394,,,,,,,,
253,5301,5311,5316,5337,5350,5366,,,,,,,,
252,5253,5266,5275,5297,5317,5333,,,,,,,,
251,5204,5218,5231,5254,5283,5299,,,,,,,,
250,5158,5170,5189,5219,5249,5273,,,,,,,,
249,5116,5131,5158,5189,5225,5255,,,,,,,,
248,5089,5103,5140,5178,5217,5250,,,,,,,,
247,5080,5100,5141,5186,5235,5275,,,,,,,,
246,5099,5120,5169,5224,5281,5332,,,,,,,,
245,5153,5177,5235,5304,5367,5427,,,,,,,,
244,5255,5287,5359,5430,5505,5571,,,,,,,,
243,5412,5455,5540,5627,5708,5781,,,,,,,,
242,5639,5688,5783,5880,5970,6048,,,,,,,,
241,5940,5988,6094,6196,6302,6390,,,,,,,,
240,6291,6339,6457,6572,6686,6792,,,,,,,,
239,0,0,0,0,0,0,,,,,,,,
238,0,0,0,0,0,0,,,,,,,,
237,0,0,0,0,0,0,,,,,,,,
236,0,0,0,0,0,0,,,,,,,,
235,0,0,0,0,0,0,,,,,,,,
234,0,0,0,0,0,0,,,,,,,,
233,0,0,0,0,0,0,,,,,,,,
232,0,0,0,0,0,0,,,,,,,,
231,0,0,0,0,0,0,,,,,,,,
230,0,0,0,0,0,0,,,,,,,,
229,0,0,0,0,0,0,,,,,,,,
228,0,0,0,0,0,0,,,,,,,,
227,0,0,0,0,0,0,,,,,,,,
226,0,0,0,0,0,0,,,,,,,,
225,0,0,0,0,0,0,,,,,,,,
224,0,0,0,0,0,0,,,,,,,,
223,0,0,0,0,0,0,,,,,,,,
222,0,0,0,0,0,0,,,,,,,,
221,0,0,0,0,0,0,,,,,,,,
220,0,0,0,0,0,0,,,,,,,,
219,0,0,0,0,0,0,,,,,,,,
218,0,0,0,0,0,0,,,,,,,,
217,0,0,0,0,0,0,,,,,,,,
216,0,0,0,0,0,0,,,,,,,,
215,0,0,0,0,0,0,,,,,,,,
214,0,0,0,0,0,0,,,,,,,,
213,0,0,0,0,0,0,,,,,,,,
212,0,0,0,0,0,0,,,,,,,,
211,0,0,0,0,0,0,,,,,,,,
210,0,0,0,0,0,0,,,,,,,,
209,0,0,0,0,0,0,,,,,,,,
208,0,0,0,0,0,0,,,,,,,,
207,0,0,0,0,0,0,,,,,,,,
206,0,0,0,0,0,0,,,,,,,,
205,0,0,0,0,0,0,,,,,,,,
204,0,0,0,0,0,0,,,,,,,,
203,0,0,0,0,0,0,,,,,,,,
202,0,0,0,0,0,0,,,,,,,,
201,0,0,0,0,0,0,,,,,,,,
200,0,0,0,0,0,0,,,,,,,,
